rssi_ap_A,rssi_ap_B,rssi_ap_C,rssi_ap_D,predicted_zone
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,1.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,0.0,1.0,0.0,Zone_X23_Y32
0.0,0.0,1.0,0.0,Zone_X23_Y32
0.0,0.0,1.0,0.0,Zone_X23_Y32
0.0,0.0,1.0,0.0,Zone_X23_Y32
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
1.0,1.0,1.0,1.0,Zone_X23_Y31
